DEC,HEX,Mode,Alpha Tag,Description,Tag,Group,Priority
32,20,A,UCA Tech 2,System Testing 2,Business,Radio Technicians,3
64,40,A,UCA Tech 4,System Testing 4,Business,Radio Technicians,3
96,60,A,NOAA Weather,NOAA Weather re-broadcast,Emergency Ops,Utah State Misc,3
224,0,A,UPD Tacical 1,Unified Police Tactical 1,Law Tac,Salt Lake County,3
256,100,A,UPD West,Unified Police West Oquirrh Division,Law Dispatch,Salt Lake County,3
288,120,A,UPD Taylorsville,Unified Police Taylorsville/Special Services,Law Dispatch,Salt Lake County,3
320,140,A,UPD East,Unified Police East Wasatch Division,Law Dispatch,Salt Lake County,3
352,160,A,UPD Request 1,Unified Police Request 1,Law Talk,Salt Lake County,3
384,180,A,UPD Tacical 2,Unified Police Tactical 2,Law Tac,Salt Lake County,3
416,1a0,A,UPD Car/Car,Unified Police Car/Car,Law Tac,Salt Lake County,3
448,1c0,A,SLSO Statewide,Sheriff Statewide,Law Talk,Salt Lake County,3
480,1,A,SLSO Detectives,Sheriff Detectives,Law Talk,Salt Lake County,3
512,200,A,SLSO Court,Sheriff Court Services,Law Talk,Salt Lake County,3
544,220,A,UPD Midvalley,Unified Police Midvalley,Law Dispatch,Salt Lake County,3
576,240,A,SLSO Comms,Sheriff Communications,Law Talk,Salt Lake County,3
640,280,A,SLSO Special Ops,Sheriff Special Operations,Law Dispatch,Salt Lake County,3
672,2a0,A,Dist. Attorney,Utah District Attorney,Law Talk,Utah State Misc,3
704,2c0,A,SLC PD 2 East,Police 2 East,Law Dispatch,Salt Lake City,3
736,2,A,SLC PD 1 West,Police 1 West,Law Dispatch,Salt Lake City,3
832,340,A,SLC PD Service,Police Service,Law Talk,Salt Lake City,3
960,3c0,A,SLC PD SWAT,Police SWAT,Law Talk,Salt Lake City,3
1024,400,A,ADC Jail 1,Adult Detention Center 1,Corrections,Salt Lake County,3
1152,480,A,UPD/SLCPD Link,Unified Police Salt Lake City Police APB Link,Law Tac,Salt Lake County,3
